rot_x	rot_y	rot_z	trans_x	trans_y	trans_z	rmsd	framewise_displacement
0.000331343	-0.000449429	-0.000418166	-0.0211588	0.0510043	0.0374674		0.0
0.000183826	-0.000197162	-0.000247297	-0.0127832	0.0121205	0.0243784	0.0458318	0.08888105
0.000245101	-0.000243979	-0.000274225	-0.00870973	0.0331008	0.0305685	0.0229769	0.03799486999999999
0.000878904	-0.000339255	-0.000337032	0.00269876	0.0158894	0.0359137	0.038473	0.07355939
0.00044515	-0.000339255	-0.00024834	-0.00286578	0.0110102	0.0186902	0.0305977	0.053789540000000004
0.000366153	-0.000126343	0.0	0.00322942	0.0253049	0.0303985	0.0251137	0.059110649999999994
0.000622922	-0.000339255	-0.000162803	0.00221579	0.01918	0.00572665	0.0311455	0.06343457999999999
0.000319861	-0.000165758	-0.000278518	0.00755631	0.00162166	0.0121349	0.0271966	0.058920759999999996
0.00229282	-0.000568257	-0.000291462	0.000972839	0.0185882	-0.0222202	0.108505	0.17732521099999998
0.00108082	-0.000282709	-5.3333e-05	0.00273112	0.039752	0.00449469	0.0700575	0.13642082100000003
0.00124016	-0.000397968	0.0	0.016156	0.0185855	-0.0062073	0.0288735	0.061689970000000004
0.000916459	-0.000273636	-0.000210766	0.0123307	-0.00388778	0.0045057	0.0325076	0.06995153
-8.240489999999998e-06	0.000170465	0.0	0.00937821	-0.00395447	0.00456108	0.0534303	0.0820528845
0.000314442	0.000170465	0.0	0.0035727	0.0186548	0.0210372	0.0342901	0.0610250245
0.000467704	0.000170465	-6.64683e-05	0.00718484	0.00697513	0.00579446	0.0205206	0.041521064999999996
0.000314442	-0.00020461	0.0	0.0110539	-0.00380923	0.0199672	0.0272415	0.05856642499999999
-2.79774e-05	1.17224e-05	0.0	0.0136851	0.00886459	0.0100743	0.0257955	0.053135510000000004
0.000201948	-0.000151093	0.0	0.00517405	0.00886828	0.00353385	0.0174783	0.03469223
0.000314442	0.000170465	0.0	0.0109185	-0.00913385	0.00936128	0.0261127	0.05127661
-0.000106347	1.99739e-05	0.0	0.0108529	-0.00912826	0.00907721	0.0227825	0.028919265
0.000147086	0.000170465	0.0	0.00120013	-0.00165569	-0.00397764	0.0230364	0.050376395000000004
0.000237893	0.000170465	0.0	0.000409333	-0.0091359	-0.00384258	0.00856176	0.012946417
