rot_x	rot_y	rot_z	trans_x	trans_y	trans_z	rmsd	framewise_displacement
-0.00236244	0.000615911	-0.000604811	-0.0126808	-0.0399204	-0.0218992		0.0
-0.00248431	0.000610978	-0.000689747	-0.0137492	-0.0308044	0.0089079799999999	0.032289	0.0515785299999999
-0.00259939	0.000668195	-0.000685889	-0.0123981	-0.0112782	0.0134377	0.020382	0.03421477000000011
-0.00219076	0.000436448	-0.000638895	-0.00891521	-0.0107944	0.00932007	0.0246053	0.042452870000000004
-0.00191632	0.000436448	-0.000638895	-0.00753342	-0.0391417	0.00267858	0.0306498	0.05009258
-0.00206492	0.000274799	-0.000513302	-0.0118255	-0.0307606	0.0173889	0.0205485	0.0491756
-0.00213079	0.000229336	-0.000254371	-0.0145215	-0.0307536	0.0108179	0.0158327	0.027787199999999998
-0.00164507	0.000165471	-7.82672e-05	-0.00596562	-0.0307372	-0.0124428	0.0347366	0.06811742000000001
-0.0014867	0.000223129	-7.82672e-05	-0.00234092	-0.0307318	-0.0301679	0.0192094	0.032156599999999994
-0.00177462	0.000292758	-0.000324597	-0.00651112	-0.0307411	-0.0114719	0.0263828	0.053069439999999996
-0.00147758	0.000242166	-0.000514156	-0.00516283	-0.018623	-0.00604448	0.0240119	0.04575335999999999
-0.000992715	0.000346714	-0.00024757	-0.00319771	-0.0307348	-0.0198179	0.0321385	0.07065029
-0.000671446	0.000464934	-0.000351193	-0.00167875	-0.0307408	0.0160718	0.0418225	0.06457025999999999
-0.00110414	0.000298769	-0.000488704	-0.003399	-0.021989	0.00422573	0.0290125	0.059136619999999994
-0.00117213	0.00048504	-0.000316452	-0.0042854	-0.0075161999999999	0.00383875	0.0193802	0.0370718300000001
-0.000532465	0.000219315	-0.000455478	-0.000233932	-0.00478904	-0.00668234	0.0377091	0.06952051799999989
-0.000404634	0.00014026	-0.000473678	0.00461383	-0.0113559	-0.00178907	0.012269	0.027562192000000003
-0.000404634	-8.418849999999998e-05	-5.92234e-05	-0.00103168	-0.0073523599999999	0.0158482	0.0303283	0.0592314750000001
-0.000576248	5.91595e-05	-5.92234e-05	0.00266953	0.0075544899999999	0.022528	0.0191524	0.041035959999999795
-0.000404634	8.17708e-05	-5.92234e-05	-0.0010367	0.00755648	0.0225307	0.00965191	0.0134221850000001
3.41662e-06	-8.41886e-05	-5.92234e-05	-0.00103168	-0.00573858	0.00453003	0.0296996	0.060001251000000005
-3.83907e-05	3.616e-05	-5.92234e-05	-0.00103249	-0.0113993	-0.00765735	0.0150299	0.025956706000000003
-0.000302087	0.000462706	-0.000233377	-0.00103612	0.0075509699999999	0.0107024	0.0367589	0.0805334449999999
0.000320725	-8.41886e-05	-0.000371576	0.00115914	0.00755159	-0.0271175	0.0559151	0.1054110600000001
6.69274e-05	0.000334704	-0.000531847	-0.00698393	0.00754808	0.00213359	0.0399722	0.07904573000000001
-0.000222045	0.000406302	-0.000531847	-0.00102454	0.00754316	0.00516586	0.0162311	0.027025099999999996
0.00013888	0.000406302	-0.0007287749999999	-0.00102604	0.0210832	-0.0140601	0.0314996	0.060660149999995
0.000226008	0.000656302	-0.000849136	-0.00102089	0.011874	-0.0160582	0.0170681	0.034086900000005
-3.67293e-05	0.000406302	-0.000984436	0.0052379	-0.0121357	-0.00501225	0.0343896	0.073716305
3.25312e-05	0.000406302	-0.000710129	-0.00101935	0.00754812	-0.00707294	0.0255397	0.045180134999999996
0.00013888	0.000406302	-0.000742673	0.00717056	-0.00093263	-0.00230519	0.0138002	0.02838305
0.00013888	0.000456581	-0.0007584389999999	0.00710033	-0.0212624	-0.0262606	0.03146	0.047657659999995
-0.000108144	0.000406302	-0.000531847	0.00783687	-0.0077295799999999	-0.0187018	0.0217259	0.048022909999995096
0.00013888	0.000406302	-0.000633242	0.0178808	-0.00236528	-0.0284259	0.0203589	0.042553279999999895
0.000430789	0.000406302	-0.000531847	0.0176533	-0.0351552	-0.0489305	0.0398214	0.07318722
0.00013888	0.000406302	-0.000531847	0.0257457	-0.0373793	-0.0478422	0.0172946	0.026000250000000003
0.00013888	0.000406302	-0.000182999	0.0265067	-0.0216504	-0.0423647	0.0239512	0.0394098
0.000528098	0.000406302	-0.000267428	0.0260234	-0.0171896	-0.0601988	0.0265943	0.04646055
-0.000204815	0.000524722	-0.000268411	0.0399233	-0.0373389	-0.0810966	0.0526439	0.0975628
0.000340177	0.000406302	-0.000201173	0.0419835	-0.0350494	-0.101009	0.0338695	0.0607946
0.000153617	0.000406302	-2.51439e-05	0.0399103	-0.0373868	-0.0754928	0.0282223	0.04805625499999999
-0.000423478	0.000406302	-2.51439e-05	0.0399103	-0.0373679	-0.0518802	0.0360175	0.052486249999999984
0.000384517	0.000406302	-2.51439e-05	0.047805	-0.0294925	-0.0615515	0.0438747	0.06584115
0.00076362	-2.99941e-06	7.92181e-05	0.0596046	-0.0374645	-0.0752439	0.0346691	0.0781023205
0.000508803	-2.99941e-06	0.000231076	0.0573056	-0.0374611	-0.0424516	0.0351201	0.055428445000000014
0.000612635	0.000170626	0.000508828	0.0596124	-0.0308365	-0.0355236	0.020195	0.043619870500000005
0.000907664	-0.000173289	0.000559186	0.0596002	-0.037503	-0.042464	0.0244252	0.04808420000000001
0.00121896	-2.99941e-06	0.000775844	0.0595992	-0.0326575	-0.0517553	0.023316	0.0490499795
